Date : 2022-04-04 10:16:46
Directory : d:\CODE\decide-it-client
Total : 84 files,  60434 codes, 343 comments, 402 blanks, all 61179 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |          4 |     57,499 |          0 |          4 |     57,503 |
| JavaScript React |         25 |      1,888 |        235 |        195 |      2,318 |
| SCSS             |         33 |        584 |         41 |        117 |        742 |
| JavaScript       |          7 |        364 |         41 |         40 |        445 |
| SVG              |         13 |         44 |          0 |         12 |         56 |
| Markdown         |          1 |         38 |          0 |         33 |         71 |
| HTML             |          1 |         17 |         26 |          1 |         44 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                               |         84 |     60,434 |        343 |        402 |     61,179 |
| public                                                                          |          3 |         50 |         26 |          2 |         78 |
| src                                                                             |         78 |     47,396 |        317 |        365 |     48,078 |
| src\assets                                                                      |         12 |         36 |          0 |         12 |         48 |
| src\assets\icons                                                                |         12 |         36 |          0 |         12 |         48 |
| src\components                                                                  |         40 |      1,697 |        212 |        209 |      2,118 |
| src\components\CardList                                                         |          2 |         28 |          0 |          8 |         36 |
| src\components\Dashboard                                                        |          2 |         44 |         22 |          5 |         71 |
| src\components\Footer                                                           |          2 |         49 |          0 |          5 |         54 |
| src\components\Header                                                           |          2 |        151 |         61 |         12 |        224 |
| src\components\Register                                                         |          2 |         97 |          0 |          2 |         99 |
| src\components\Reset                                                            |          2 |         68 |          0 |          2 |         70 |
| src\components\SaveSearch                                                       |          1 |        144 |         11 |         13 |        168 |
| src\components\buttons                                                          |          2 |         78 |          9 |         17 |        104 |
| src\components\cards                                                            |          3 |        177 |         14 |         18 |        209 |
| src\components\cards\CardApp                                                    |          2 |        107 |         11 |          9 |        127 |
| src\components\cards\CardResults                                                |          1 |         70 |          3 |          9 |         82 |
| src\components\charts                                                           |          2 |        172 |         55 |         10 |        237 |
| src\components\forms                                                            |          2 |        294 |         29 |         31 |        354 |
| src\components\forms\FormSearch                                                 |          2 |        294 |         29 |         31 |        354 |
| src\components\inputs                                                           |         18 |        395 |         11 |         86 |        492 |
| src\components\inputs\InputDate                                                 |          1 |         21 |          0 |          3 |         24 |
| src\components\inputs\InputErrorTag                                             |          2 |         30 |          0 |         13 |         43 |
| src\components\inputs\InputNumber                                               |          2 |         23 |          1 |          4 |         28 |
| src\components\inputs\InputRadio                                                |          2 |         55 |          0 |          8 |         63 |
| src\components\inputs\InputSearch                                               |          2 |         67 |          0 |         14 |         81 |
| src\components\inputs\InputSelect                                               |          2 |         41 |          5 |          5 |         51 |
| src\components\inputs\InputText                                                 |          2 |         53 |          4 |         11 |         68 |
| src\components\inputs\InputTextArea                                             |          2 |         36 |          1 |          5 |         42 |
| src\data                                                                        |          1 |     44,524 |          0 |          1 |     44,525 |
| src\pages                                                                       |          6 |        500 |         40 |         50 |        590 |
| src\pages\PageAdvancedSearch                                                    |          2 |        189 |         11 |         21 |        221 |
| src\pages\PageLogin                                                             |          2 |         71 |         23 |          2 |         96 |
| src\pages\PageSimpleSearch                                                      |          2 |        240 |          6 |         27 |        273 |
| src\styles                                                                      |         10 |        188 |         15 |         36 |        239 |
| src\styles\partials                                                             |          9 |        184 |         15 |         35 |        234 |
| src\styles\partials\base                                                        |          3 |        116 |          2 |         14 |        132 |
| src\styles\partials\layout                                                      |          2 |          9 |          0 |          1 |         10 |
| src\styles\partials\pages                                                       |          1 |          0 |          0 |          1 |          1 |
| src\styles\partials\utils                                                       |          3 |         59 |         13 |         19 |         91 |
| src\utils                                                                       |          4 |        195 |         32 |         23 |        250 |
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

